text,len,combo_count,is_syntactic,morph_prefix,morph_suffix,pos_start,pos_end,atomic_slice,semantic_weight,game_weight,start_combo_count
abduc,5,11,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.04,1.14,2
abe,3,60,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.15,1.25,2
abel,4,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.13,1.13,0
aber,4,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.73,0.73,1
aberr,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8,0.8,1
abet,4,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.05,1.05,1
abett,5,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.92,0.92,1
abh,3,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.7,0.7,2
abho,4,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.69,0.69,1
abhor,5,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.84,0.84,2
abi,3,81,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.15,1.25,4
abic,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.65,0.65,0
abid,4,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.81,0.81,1
abies,5,7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.88,0.98,0
abil,4,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.89,0.89,2
abili,5,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,2
abin,4,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.69,0.69,0
abit,4,9,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.81,0.91,0
abj,3,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.7,0.7,1
abl,3,86,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.15,1.25,2
abla,4,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.97,0.97,2
ablat,5,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.88,0.88,1
able,4,587,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1.3,1.5,1
abled,5,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.8,0.9,0
ables,5,33,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.45,1.5,0
abli,4,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.85,0.85,0
ably,4,116,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.3,1.4,1
abn,3,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.58,0.58,1
abo,3,112,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.15,1.25,15
aboa,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.65,0.65,1
abol,4,18,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.17,1.27,3
aboli,5,9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.96,1.06,3
aboo,4,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.73,0.73,0
aboos,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.8,0.8,0
abor,4,21,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.29,1.39,4
abort,5,8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.92,1.02,5
abou,4,15,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.05,1.15,2
about,5,9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.96,0.96,1
abr,3,43,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.15,1.25,8
abra,4,18,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.17,1.27,3
abrad,5,9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.96,0.96,0
abras,5,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.8,0.9,3
abre,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.65,0.65,1
abri,4,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.73,0.73,1
abrid,5,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.84,0.84,1
abro,4,9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.81,0.81,1
abru,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.65,0.65,2
abs,3,107,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.15,1.25,24
absc,4,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.09,1.09,1
abse,4,15,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.05,1.15,4
absen,5,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1.1,3
abso,4,20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.25,1.35,10
absol,5,9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.96,1.06,3
absor,5,8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.92,1.02,6
abst,4,15,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.05,1.15,4
abstr,5,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.84,0.84,2
absu,4,8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.77,0.87,3
absur,5,7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.88,0.98,2
abu,3,39,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.15,1.25,9
abus,4,12,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.93,1.03,6
aby,3,23,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.15,1.25,2
abys,4,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.69,0.69,1
ac,2,1913,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1.1,119
aca,3,78,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.15,1.25,6
acad,4,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.85,0.95,5
acade,5,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1.1,5
acal,4,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.01,1.01,0
acar,4,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.13,1.13,0
acat,4,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.77,0.77,0
acc,3,124,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.15,1.25,42
acce,4,39,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.3,1.4,14
accen,5,7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.88,0.98,2
accep,5,12,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.08,1.18,4
acces,5,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.84,0.94,5
acci,4,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.89,0.89,2
accid,5,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.96,0.96,2
accl,4,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.69,0.69,2
acco,4,26,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.3,1.4,12
accor,5,7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.88,0.98,4
accou,5,8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.92,1.02,3
accr,4,15,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.05,1.15,3
accre,5,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.92,0.92,1
accru,5,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.84,0.84,1
accu,4,19,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.21,1.31,9
accus,5,13,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.12,1.22,5
ace,3,232,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.15,1.25,5
acea,4,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.73,0.73,0
aced,4,47,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.3,1.4,1
acel,4,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.81,0.81,0
acele,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8,0.8,0
acem,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.65,0.65,0
acen,4,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.73,0.73,0
acent,5,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.84,0.84,0
acer,4,33,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.3,1.4,0
acers,5,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.12,1.12,0
aces,4,84,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.3,1.4,1
acet,4,32,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.3,1.4,4
aceta,5,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.96,0.96,1
aceti,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8,0.8,0
aceto,5,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.88,0.88,1
acety,5,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.84,0.84,0
ach,3,284,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.15,1.25,7
acha,4,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.09,1.09,0
achab,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8,0.8,0
ache,4,47,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.3,1.4,1
ached,5,20,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.4,1.5,0
acher,5,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.16,1.16,0
aches,5,39,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.45,1.5,1
achi,4,54,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.3,1.4,6
achie,5,11,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.04,1.14,5
acho,4,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.01,1.01,0
achs,4,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.97,0.97,0
achy,4,14,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.01,1.01,0
aci,3,199,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.15,1.25,3
acia,4,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.77,0.77,0
acial,5,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.84,0.94,0
acic,4,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.81,0.81,0
acid,4,45,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.3,1.4,3
acidi,5,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.92,0.92,1
acids,5,12,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.08,1.08,1
acie,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.65,0.65,0
acier,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.8,0.8,0
acies,5,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.12,1.12,0
acil,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.65,0.65,0
acin,4,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.01,1.01,0
acing,5,33,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.45,1.5,0
acio,4,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.25,1.25,0
acit,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.65,0.65,0
acity,5,20,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.4,1.5,0
ack,3,368,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.15,1.25,0
ackb,4,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.73,0.73,0
acke,4,30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.3,1.3,0
acked,5,33,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.45,1.5,0
acken,5,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.84,0.84,0
acker,5,18,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.32,1.42,0
ackf,4,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.69,0.69,0
acki,4,32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.3,1.3,0
ackl,4,21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.29,1.29,0
ackle,5,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0
ackli,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8,0.8,0
ackm,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.65,0.65,0
acko,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.65,0.65,0
acks,4,121,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.3,1.4,0
acl,3,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.15,1.15,0
acle,4,16,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.09,1.19,0
acles,5,15,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.2,1.3,0
aco,3,72,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.15,1.25,4
acon,4,28,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.3,1.4,0
aconi,5,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.96,0.96,0
acos,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.65,0.65,0
acq,3,18,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.02,1.12,6
acqu,4,18,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.17,1.27,6
acqui,5,12,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.08,1.18,6
acr,3,68,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.15,1.25,9
acra,4,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.77,0.77,0
acre,4,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.73,0.73,2
acri,4,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.89,0.89,0
acro,4,33,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.3,1.4,6
acros,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.8,0.8,0
acs,3,42,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.15,1.25,0
act,3,261,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.15,1.15,27
acta,4,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.97,0.97,0
acte,4,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.73,0.73,0
acted,5,26,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.45,1.5,1
acti,4,84,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.3,1.4,14
actic,5,15,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.2,1.3,0
actin,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.4,1.4,1
actio,5,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.92,0.92,1
activ,5,14,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.16,1.26,10
acto,4,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.05,1.05,1
actor,5,19,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.36,1.46,1
acts,4,42,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.3,1.4,1
actu,4,18,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.17,1.27,6
actua,5,13,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.12,1.22,5
acu,3,37,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.15,1.25,4
acua,4,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.69,0.69,0
acul,4,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.77,0.77,0
acut,4,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.73,0.73,1
acute,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8,0.8,2
acy,3,59,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.15,1.25,0
ad,2,1668,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,133
ada,3,91,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.15,1.25,13
adab,4,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.77,0.77,0
adam,4,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.85,0.85,2
adama,5,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.84,0.84,2
adap,4,17,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.13,1.23,9
adapt,5,17,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.28,1.38,9
aday,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.65,0.65,0
adb,3,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.94,0.94,0
add,3,120,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.15,1.25,18
adde,4,11,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.89,0.99,1
added,5,10,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1
adden,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8,0.8,1
addi,4,27,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.3,1.4,11
addic,5,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.84,0.94,5
addit,5,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.8,0.9,4
addl,4,21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.29,1.29,0
addle,5,11,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.04,1.14,0
addr,4,8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.77,0.87,3
addre,5,8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.92,1.02,3
adds,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.65,0.65,1
ade,3,230,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.15,1.25,4
aded,4,84,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.3,1.4,0
adel,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.65,0.65,0
adem,4,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.93,0.93,0
ademi,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8,0.8,0
aden,4,28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.3,1.3,1
adeno,5,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.96,0.96,1
adep,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.65,0.65,0
adept,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.8,0.8,1
ader,4,39,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.3,1.4,0
aders,5,23,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.45,1.5,0
ades,4,93,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.3,1.4,0
adf,3,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.78,0.78,0
adh,3,24,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.15,1.25,10
adhe,4,17,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.13,1.23,10
adher,5,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1.1,6
adi,3,194,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.15,1.25,3
adia,4,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.97,0.97,0
adic,4,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.3,1.3,0
adie,4,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.01,1.01,0
adier,5,11,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.04,1.04,0
adies,5,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.88,0.88,0
adil,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.65,0.65,0
adily,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8,0.8,0
adin,4,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.13,1.13,0
adine,5,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.88,0.88,0
ading,5,48,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.45,1.5,0
adio,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.65,0.65,0
adip,4,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.73,0.73,1
adipo,5,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.84,0.84,1
adis,4,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.05,1.05,0
adist,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8,0.8,0
adj,3,45,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.15,1.25,13
adjo,4,9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.81,0.91,3
adjoi,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8,0.8,1
adju,4,33,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.3,1.4,8
adjus,5,9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.96,1.06,4
adl,3,47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.15,1.15,0
adle,4,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.93,0.93,0
adli,4,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.25,1.25,0
adlo,4,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.73,0.73,0
adm,3,48,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.15,1.25,16
admi,4,31,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.3,1.4,15
admir,5,13,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.12,1.22,10
admit,5,8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.92,1.02,3
adn,3,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.9,0.9,0
adne,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.65,0.65,0
ado,3,133,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.15,1.25,19
adoes,5,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.92,0.92,0
adon,4,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.69,0.69,1
adop,4,14,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.01,1.11,7
adopt,5,14,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.16,1.26,7
ador,4,28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.3,1.4,6
adorn,5,9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.96,0.96,2
ados,4,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.3,1.3,0
adow,4,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.85,0.85,0
adp,3,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.62,0.62,0
adr,3,46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.15,1.15,2
adra,4,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.93,0.93,0
adre,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.65,0.65,1
adri,4,8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.77,0.77,1
adro,4,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.05,1.05,0
ads,3,234,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1.15,1.25,1
adst,4,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.05,1.05,0
adsto,5,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.84,0.84,0
adu,3,50,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.15,1.25,5
adua,4,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.77,0.77,0
aduc,4,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.69,0.69,0
